user_ticket,ticket_owner,text,ts,thread_ts,latest_reply,t_revisado,t_resuelto,t_finalizado,nuevo_req,ticket_ops,ticket_tech,urgente,Duracion_Ticket_horas
paula,juan,:rotating_light::robot_face:  Volvió a presentar fallas  la opción de que poder escribirle a los usuarios siempre. Nuevamente aparece el botón de reactivación y no permite que las chicas le puedan escribir al usuario.,2022-01-19 16:51:49,2022-01-19 16:51:49,2022-01-19 17:49:45,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.97
paula,nsanhueza,:rotating_light::robot_face: Ajustar template automático que se envía al oprimir el botón  de reactivación en el live chat. (Template ya pedido),2022-01-19 16:57:51,2022-01-19 16:57:51,2022-01-19 19:26:05,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2.47
paula,jmansilla,:rotating_light::robot_face: Cargar los formularios en  la información que se puede ver del usuario en el live chat.,2022-01-19 16:58:49,2022-01-19 16:58:49,2022-01-20 14:07:04,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,21.14
paula,jmansilla,:robot_face: Enviar mensaje de lanzamiento de live chat por WhatsApp a los usuarios que se han registrado con Berta. El día 20 de enero de 2022 a mas tardar a las 3:00 pm hora chile,2022-01-19 22:00:22,2022-01-19 22:00:22,2022-01-20 15:54:13,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,17.9
paula,jmansilla,:rotating_light::robot_face: la plataforma de Improve Bot no funciona aparece error 500.,2022-01-19 22:04:17,2022-01-19 22:04:17,2022-01-20 0:57:10,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2.88
vprieto,,:robot_face: No me funciona el nuevo login (usuario <mailto:vprieto@krino.cl|vprieto@krino.cl>),2022-01-19 23:08:58,2022-01-19 23:08:58,2022-01-21 14:10:16,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,39.02
david,jmansilla,":rotating_light: :robot_face: Requerimiento geo
No entiendo muy bien que pasa pero aquí esta la información link: <https://improvebot.krino.ai/a53641abae6d28afd5ea74dc60fcb70e0e5fd536140bed5b80260e42dcf9f3a7/200252/>",2022-01-20 1:09:24,2022-01-20 1:09:24,2022-01-24 14:28:35,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,109.32
istuardo,istuardo,":dart: ECR : Estamos consultando este Rut, el cual nuestra API responde lo que está marcado en amarillo (no entrega mensaje que viene desde la API al chat)",2022-01-20 14:08:01,2022-01-20 14:08:01,2022-01-25 13:37:16,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,119.49
david,istuardo,":rotating_light: :dart: Por algun motivo no estan entrando de nuevo las cotizaciones, nos e envian al correo ni entran a planok",2022-01-20 15:28:10,2022-01-20 15:28:10,2022-01-20 16:31:45,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1.06
david,juan,":rotating_light: :robot_face: Bug en la nueva app kriator cuando modifico un mensaje de una caja se mueve de posicion.
El que lo vaya a tomar me avisa y me contacta para darle mas informacion.",2022-01-20 17:59:35,2022-01-20 17:59:35,2022-01-21 14:18:06,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,20.31
paula,juan,:rotating_light::robot_face: Vuelve a aparece la opción de reactivar chat en el live chat apenas ingresa un nuevo usuario. Por lo que nuevamente no deja que se envié ningún mensaje por parte del team de salud mental.,2022-01-20 18:48:41,2022-01-20 18:48:41,2022-01-20 20:03:04,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1.24
istuardo,juan,:robot_face: QA Plataforma LiveChat: Error al entrar a configurar un bot,2022-01-20 21:11:32,2022-01-20 21:11:32,2022-01-20 21:36:18,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.41
paula,,":dart: Desde el celular de Monica no se ha podido ingresar correctamente a la parte de login a pesar de que ingresa desde este link <http://app.krino.ai/login/old>.

A darle continuar, la envía a la nueva pagina de Krino.",2022-01-20 21:51:08,2022-01-20 21:51:08,2022-01-21 0:55:29,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3.07
istuardo,nsanhueza,:robot_face::dart: PY: Revisar historial de conversación en correo electrónico.,2022-01-21 14:01:09,2022-01-21 14:01:09,2022-02-01 14:09:50,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,264.14
istuardo,,:writing_hand::skin-tone-4: :dart: :robot_face: GEO: Crear CRON para reintento de envío de LEAD,2022-01-21 14:14:02,2022-01-21 14:14:02,2022-01-25 13:46:48,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,95.55
david,istuardo,:rotating_light::dart: Erika no responde al envio a la solicitud de documentos wiuu wiuu,2022-01-21 19:38:43,2022-01-21 19:38:43,2022-01-24 13:56:57,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,66.3
istuardo,istuardo,:dart: Erika: Cambio de palabra _*ANTIGÜEDAD*_ en la FAQ: 4469,2022-01-24 14:04:00,2022-01-24 14:04:00,2022-01-24 14:18:54,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0.25
paula,istuardo,:writing_hand::dart:  Solicitar nuevamente el numero de Archie en Twilio,2022-01-24 14:08:39,2022-01-24 14:08:39,2022-02-04 20:46:01,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,270.62
paula,istuardo,:rotating_light::dart: Ajustar nuevos nombres de la variables de los resultados de los formulario resueltos por los usuarios en la base de datos,2022-01-24 14:09:41,2022-01-24 14:09:41,2022-02-04 15:24:02,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,265.24
istuardo,istuardo,:rotating_light: :dart: :robot_face: _*NOTIFICACIONES*_: Notificaciones de TF off no funciona.,2022-01-24 14:17:13,2022-01-24 14:17:13,2022-01-25 14:02:40,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,23.76
david,jmansilla,:writing_hand: :dart: Integrar API en bot consorcio,2022-01-24 14:38:29,2022-01-24 14:38:29,2022-02-01 18:05:52,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,195.46
jmansilla,jmansilla,:writing_hand: :robot_face: GTD solicitó que se pueda responder más de una vez un formulario,2022-01-25 14:35:23,2022-01-25 14:35:23,2022-01-28 17:35:17,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,75
jmansilla,jmansilla,:dart:  GTD reportó que no podía subir opciones por longitud,2022-01-25 14:35:50,2022-01-25 14:35:50,2022-01-28 17:35:32,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,75
istuardo,istuardo,":dart: PY: Proyecto Matta Vial, Aires de Melipilla y Remanso de Machali no marcan con proyectos disponibles. Revisar API",2022-01-25 14:38:11,2022-01-25 14:38:11,2022-01-31 20:03:35,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,149.42
istuardo,jmansilla,:writing_hand: :robot_face: Implementar tickets mediante Erika (Enviar una respuesta dinámica luego de pasadas las 24 horas),2022-01-25 14:56:16,2022-01-25 14:56:16,2022-02-07 23:34:40,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,320.64
david,istuardo,:writing_hand: :dart: Que se puedan enviar pdfs tambien en erika,2022-01-25 17:07:30,2022-01-25 17:07:30,2022-02-10 19:46:20,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,386.65
david,istuardo,:writing_hand: :dart: Botones de cancelar en erika para cancelar solicitudes,2022-01-25 17:08:02,2022-01-25 17:08:02,2022-01-31 14:17:49,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,141.16
andresg,juan,":rotating_light: :robot_face: Bug Kriator: Al tener un error en alguna tarjeta de mensaje, este se mantiene en todas las que valla creando en el futuro. Permite crear la tarjeta de mensaje pero se mantiene el mensaje de error en rojo",2022-01-25 19:08:44,2022-01-25 19:08:44,2022-01-25 19:46:04,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.62
andresg,juan,":rotating_light: :robot_face: Bug Kriator: Si estoy trabajando en la construccion de un bot y tengo una plantilla abierta en segundo plano para ayudarme, si hago Refresh en la pagina que estoy trabajando me abre la ultima plantilla que abri y no me mantiene en la que estaba trabajando.",2022-01-25 19:34:39,2022-01-25 19:34:39,2022-01-25 23:05:26,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3.51
andresg,juan,":rotating_light: :robot_face: Bug Kriator: Tengo conectado el mensaje inicial como se ve en la primera foto y si vuelvo hacia atras con la flecha que esta abajo de ""Nuevo +"" , y luego vuelvo a entrar a la plantilla no aparece el mensaje, como se ve en la segunda foto.",2022-01-25 23:47:55,2022-01-25 23:47:55,2022-01-26 19:36:07,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,19.8
istuardo,istuardo,:rotating_light: :robot_face: WEB KRINO: Pagina caída.,2022-01-26 12:59:17,2022-01-26 12:59:17,2022-01-26 12:59:24,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0
david,jmansilla,:writing_hand: :dart::robot_face: Agregar bot bmw a facebook y whatsapp y hacer test,2022-01-26 14:32:05,2022-01-26 14:32:05,2022-01-31 14:18:20,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,119.77
omar,juan,":rotating_light::robot_face: Bug Kriator: Al escribir la opción y dar en ""enviar"" no avanza ni se manda lo escrito.",2022-01-26 20:41:03,2022-01-26 20:41:03,2022-01-27 12:35:19,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,15.9
paula,nsanhueza,:writing_hand::robot_face: Ajustar hora de envío cron de espera. En vez de que se envíe a las 8:00 am hora chile. Lograr que se envíe a las 11:00 am.,2022-01-27 14:18:00,2022-01-27 14:18:00,2022-01-31 18:12:18,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,99.9
paula,,:writing_hand::robot_face: Agregar campo de numero de celular en formulario de registro en <http://app.krino.ai/sign-up>,2022-01-27 15:22:38,2022-01-27 15:22:38,2022-02-02 23:29:11,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,152.11
andresg,juan,":rotating_light::robot_face: Bug Kriator: Al seleccionar un mensaje de una tarjeta, no deja seleccionar el mensaje completo y a su vez, se mueve toda la tarjeta.",2022-01-27 16:08:30,2022-01-27 16:08:30,2022-02-03 14:32:20,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,166.4
paula,,":writing_hand::robot_face: Cambiar mensaje del siguiente pop up por:

&gt; *Nos emociona saber que diste este primer paso!* 
&gt; 
&gt; En unos minutos te llegará un correo de bienvenida y los siguientes pasos que deberás tomar para crear tu BOT. 
&gt; 
&gt; _*Nota:*_ No olvides revisar tu carpeta de promociones para encontrar este correo. 
<@U02PKM216TX> please revisa el mensaje a ver si estas de acuerdo",2022-01-27 17:42:58,2022-01-27 17:42:58,2022-02-02 16:37:21,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,142.91
vprieto,jmansilla,:robot_face: Botones no dirigen al lugar correcto en landing <http://krino.ai|krino.ai> Mobile (Botones de Contacto se quedan en una pantalla negra),2022-01-27 17:49:31,2022-01-27 17:49:31,2022-02-18 14:11:41,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,524.37
vprieto,,":dart: Botones de precios con descripción incorrecta y falta ""USD"" en el texto de ""Todos los chatbots que quieras por solo 199""",2022-01-27 17:54:34,2022-01-27 17:54:34,2022-01-28 17:49:46,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,23.92
vprieto,jmansilla,:dart: Botón de Instagram manda esta pantalla,2022-01-27 17:55:24,2022-01-27 17:55:24,2022-01-28 17:49:34,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,23.9
vprieto,,":robot_face:
Cuando das click a Krino University en el Registro te manda al Log-in
Cuando das click a Blog en el Registro te manda al Musing Jhonson
Cuando das click a Krino University en el Log-in te manda al Musing Jhonson",2022-01-27 17:58:51,2022-01-27 17:58:51,2022-01-28 16:15:19,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,22.27
jael,,":writing_hand::skin-tone-3: :robot_face:  
Hello, les mando las correcciones de pag. web, cualquier cosa, estoy para apoyarlos.
Abrazos.",2022-01-27 20:35:09,2022-01-27 20:35:09,2022-02-07 14:08:32,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,257.56
paula,,":rotating_light::robot_face: Berta no le entiende al siguiente usuario:
•  *ID:* 179530
• *Numero de WhatsApp:* 56982983483
• *ID a direccionar:* 6967 
Envío el pantallazo de la info del usuario abajo al igual que el pantallazo del error.",2022-01-28 16:24:55,2022-01-28 16:24:55,2022-02-03 17:01:07,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,144.6
omar,jmansilla,":writing_hand: :robot_face: :dart: Hola, podemos subir el Bot de KripTon que teníamos anteriormente en <http://krino.ai|krino.ai>, a la nueva página",2022-01-28 16:43:56,2022-01-28 16:43:56,2022-01-31 14:24:08,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,69.67
jael,juan,":robot_face:
Anexo cambios en la guía de usuario, se los pasé a <@U02KN0DBT9N> desde anoche, pero no sé si los vio, xq siempre me contesta y son importantes para experiencia de usuario.
<https://docs.google.com/document/d/1Gcx2brUeEz8Aop0V1vTfQoawhKhphWyj7IqaTdM5ekc/edit?usp=sharing>",2022-01-28 19:26:55,2022-01-28 19:26:55,2022-02-11 3:08:30,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,319.69
david,juan,:writing_hand: :robot_face: : Bug kriator estaba trabajando en la app y recargue la pagina y se pusieron unas tarjetas sobre otras,2022-01-28 20:40:10,2022-01-28 20:40:10,2022-02-03 14:51:57,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,138.2
omar,istuardo,":rotating_light:NO FUNCIONA LA PÁGINA WEB- Team, está caida la página web, ni entrando por <http://krino.cl|krino.cl>
<@U02217J5895> <@U022N5F6ZGC> <@U02AJP0M7L1>",2022-01-31 1:00:19,2022-01-31 1:00:19,2022-01-31 13:46:24,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,12.77
omar,juan,":writing_hand: :robot_face: :dart:  Kriator: Al Guardar una validación de variable, las futuras configuraciones se guardan pero no se muestran en la tarjeta... Ejemplo:",2022-01-31 2:07:15,2022-01-31 2:07:15,2022-02-16 14:27:56,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,396.34
omar,juan,:writing_hand: :robot_face: :dart:  Kriator: Cambiar la categoría Reclutamiento a Recursos Humanos,2022-01-31 3:07:45,2022-01-31 3:07:45,2022-02-08 14:54:38,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,203.78
jmansilla,nsanhueza,:rotating_light: :robot_face:  Nuevo motor no guarda las respuestas de botones en la tabla message,2022-01-31 14:07:01,2022-01-31 14:07:01,2022-02-01 14:29:26,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,24.37
istuardo,,:rotating_light: :dart: _IFRAME_ : Bot no se muestra en webpage Krino,2022-01-31 14:09:07,2022-01-31 14:09:07,2022-02-04 15:53:08,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,97.73
omar,jmansilla,:writing_hand: :robot_face: :dart: Página Web: Los botones están desalíneados...,2022-01-31 15:41:37,2022-01-31 15:41:37,2022-02-07 14:09:33,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,166.47
vprieto,istuardo,:rotating_light: :robot_face: : Bug kriator -&gt;  Tenemos un problema con el eiframe en Kriator no muestra el bot,2022-01-31 17:12:48,2022-01-31 17:12:48,2022-02-02 18:44:26,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,49.53
jael,,":robot_face:

Desde temprano no podemos entrar a strapi para modificar blog.",2022-01-31 19:42:19,2022-01-31 19:42:19,2022-01-31 22:59:44,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3.29
david,,:rotating_light: :robot_face:: Bug Kriator no puedo eliminar lineas en Kriator al darle click en la X,2022-01-31 23:50:05,2022-01-31 23:50:05,2022-02-03 14:58:49,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,63.15
jael,jmansilla,":robot_face:
Team, puden dar de alta a <@U030XTM7MMY> en el strapi please, su correo es <mailto:sofiap@krino.cl|sofiap@krino.cl>
saludos desde Mx!",2022-02-01 14:02:22,2022-02-01 14:02:22,2022-02-01 17:06:41,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3.07
istuardo,istuardo,:rotating_light: :dart: _PY_ : Incidencias detectadas en el Chatbot,2022-02-01 14:24:34,2022-02-01 14:24:34,2022-02-02 14:22:22,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,23.96
istuardo,,":rotating_light: :dart: _Iframe_ : Variable Javascript: _*gTBrmIzuvr ,*_ ocasiona problemas en <http://app.krino.ai|app.krino.ai> y <http://krino.ai|krino.ai>",2022-02-01 14:47:33,2022-02-01 14:47:33,2022-02-04 14:39:05,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,71.86
jmansilla,istuardo,:writing_hand: :robot_face: :dart:  Necesitamos sub dominio dev para la pagina para no afectar los regisros en hotjar y el resto de metricas,2022-02-01 19:17:09,2022-02-01 19:17:09,2022-02-01 22:25:23,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3.14
jmansilla,istuardo,:writing_hand: :dart:  Powered by krino en Iframe debiese ser una etiqueta &lt;a&gt; que redireccione a la pagina web (es publicidad gratis),2022-02-01 19:27:39,2022-02-01 19:27:39,2022-02-07 21:12:42,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,145.75
paula,jmansilla,":rotating_light::dart:el 3 de febrero a las 6:00 pm chile enviar a los siguientes usuarios que están en piloto a la FAQ de cierre de piloto 10860.

• 200268 (<tel:+56976679445|+56976679445>) 
• 200280 (<tel:+56968480965|+56968480965>)
• 200269 (<tel:+56930814557|+56930814557>)
• 200271  (<tel:+56958583224|+56958583224>) ",2022-02-02 16:09:51,2022-02-02 16:09:51,2022-02-03 21:21:14,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,29.19
omar,,":writing_hand: :dart: Kriator: <@U02KN0DBT9N> Jefe, podemos incluir en la categoría de ""recursos Humanos"" la plantilla de reclutamiento, y eliminar la categoría de ""reclutamiento""?",2022-02-02 16:42:18,2022-02-02 16:42:18,2022-02-08 14:52:12,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,142.16
vprieto,juan,:writing_hand::skin-tone-3: :robot_face: Agregar logo de Krino en pestaña de <http://krino.ai|krino.ai>,2022-02-02 17:52:31,2022-02-02 17:52:31,2022-02-16 16:16:29,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,334.4
paula,istuardo,:writing_hand::skin-tone-3::robot_face:Cambiar el primer mensaje que le da Berta a los usuarios que se registran por primera ves en el formulario de inscripción. (_Valga la redundancia)_ por el template que se ve adjunto en la imagen.,2022-02-02 18:13:17,2022-02-02 18:13:17,2022-02-07 14:20:58,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,116.13
omar,nsanhueza,":writing_hand: :dart: Data: Team, tenemos una tabla de usuarios para kriator filtrando el código de perfil: *Tbl Ibot Users + Tbl Ibot Users* 
```SELECT ""public"".""tbl_ibot_users"".""id"" AS ""id"", ""public"".""tbl_ibot_users"".""idreg_fk_perfil"" AS ""idreg_fk_perfil"", ""public"".""tbl_ibot_users"".""idreg_fk_customer"" AS ""idreg_fk_customer"", ""public"".""tbl_ibot_users"".""user_name"" AS ""user_name"", ""public"".""tbl_ibot_users"".""name"" AS ""name"", ""public"".""tbl_ibot_users"".""mood"" AS ""mood"", ""public"".""tbl_ibot_users"".""mobile"" AS ""mobile"", ""public"".""tbl_ibot_users"".""home"" AS ""home"", ""public"".""tbl_ibot_users"".""office"" AS ""office"", ""public"".""tbl_ibot_users"".""about_me"" AS ""about_me"", ""public"".""tbl_ibot_users"".""country_region"" AS ""country_region"", ""public"".""tbl_ibot_users"".""city"" AS ""city"", ""public"".""tbl_ibot_users"".""comuna"" AS ""comuna"", ""public"".""tbl_ibot_users"".""website"" AS ""website"", ""public"".""tbl_ibot_users"".""gender"" AS ""gender"", ""public"".""tbl_ibot_users"".""birthdate"" AS ""birthdate"", ""public"".""tbl_ibot_users"".""password"" AS ""password"", ""public"".""tbl_ibot_users"".""language"" AS ""language"", ""public"".""tbl_ibot_users"".""password_v2"" AS ""password_v2"", ""public"".""tbl_ibot_users"".""first_time"" AS ""first_time"", ""public"".""tbl_ibot_users"".""tutorial"" AS ""tutorial"", ""public"".""tbl_ibot_users"".""account_sid"" AS ""account_sid"", ""public"".""tbl_ibot_users"".""auth_token"" AS ""auth_token"", ""public"".""tbl_ibot_users"".""ghost_user"" AS ""ghost_user"", ""public"".""tbl_ibot_users"".""empresa"" AS ""empresa"", ""public"".""tbl_ibot_users"".""photo"" AS ""photo"", ""public"".""tbl_ibot_users"".""licencia"" AS ""licencia"", ""public"".""tbl_ibot_users"".""user_mail"" AS ""user_mail"", ""public"".""tbl_ibot_users"".""user_mail_gmail"" AS ""user_mail_gmail"", ""public"".""tbl_ibot_users"".""consentimiento"" AS ""consentimiento"", ""public"".""tbl_ibot_users"".""fecha_con"" AS ""fecha_con"", ""public"".""tbl_ibot_users"".""active"" AS ""active"", ""public"".""tbl_ibot_users"".""audit_fec_first_time"" AS ""audit_fec_first_time"", ""public"".""tbl_ibot_users"".""audit_log_ins"" AS ""audit_log_ins"", ""public"".""tbl_ibot_users"".""audit_fec_ins"" AS ""audit_fec_ins"", ""public"".""tbl_ibot_users"".""audit_log_udp"" AS ""audit_log_udp"", ""public"".""tbl_ibot_users"".""audit_fec_udp"" AS ""audit_fec_udp"", ""public"".""tbl_ibot_users"".""landing_page"" AS ""landing_page""
FROM ""public"".""tbl_ibot_users""
WHERE ""public"".""tbl_ibot_users"".""idreg_fk_perfil"" = 4
ORDER BY ""public"".""tbl_ibot_users"".""fecha_con"" DESC
LIMIT 1048575```
Podemos dejar que solo sea tabla para kriator, no sea reutlizable ni tenga registros de algo más? (No con filtros, poder tener una tabla en específico para kriator/usuarios)?",2022-02-02 19:36:38,2022-02-02 19:36:38,2022-02-14 14:33:49,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,282.95
david,istuardo,:writing_hand: :dart: PY: Eliminar botones de rango de precios de proyectos inmobiliarios.,2022-02-02 20:48:58,2022-02-02 20:48:58,2022-02-14 16:08:05,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,283.32
david,istuardo,:writing_hand: :dart:: PY: Dar opción de mostrar otro proyecto si hay disponibilidad y el cliente lo desea ver.,2022-02-02 20:49:38,2022-02-02 20:49:38,2022-02-10 15:04:09,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,186.24
david,istuardo,:writing_hand: :dart:: PY: Tener la posibilidad de silenciar el sonido que genera el chat.,2022-02-02 20:50:22,2022-02-02 20:50:22,2022-02-09 14:30:18,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,161.67
